,Package,DownloadRank,Percentile,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,trend,up_down
23,BSgenome.Mmusculus.UCSC.mm39,23/927,2.48,11453,1507,923,548,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2366.10000000039,Upward
24,org.At.tair.db,24/927,2.59,7451,7796,6331,4731,4418,4202,3414,2946,2458,2365,2675,2440,2553,2747,1545,872,186,392.227941176454,Upward
25,BSgenome.Rnorvegicus.UCSC.rn6,25/927,2.7,10511,1385,759,331,409,317,288,310,272,269,174,13,NA,NA,NA,NA,NA,456.041958042024,Upward
26,hgu133plus2cdf,26/927,2.8,6891,7754,8163,7679,8326,9043,9438,8751,8438,6979,6922,7215,6144,5149,4862,4460,4332,237.749999999994,Upward
27,org.Dm.eg.db,27/927,2.91,5507,9877,8839,6428,5615,4752,3611,4708,4163,3056,3681,3039,2706,2594,1736,1698,1623,412.745098039194,Upward
28,hgu95av2.db,28/927,3.02,6448,7486,7256,7598,8265,8357,8295,10111,9352,9112,9826,11198,11160,13401,25692,26853,23771,-1068.50490196075,Downward
29,hgu133a.db,29/927,3.13,5739,8910,7969,7196,7685,8882,7328,7888,7821,7608,7064,7244,5938,5298,3871,3316,3436,255.808823529407,Upward
30,EnsDb.Hsapiens.v75,30/927,3.24,5356,8303,7355,6221,5806,5226,3500,2920,2039,1305,191,NA,NA,NA,NA,NA,NA,715.209090909107,Upward
31,org.Dr.eg.db,31/927,3.34,4888,8187,6897,4019,3354,3185,2794,3187,2749,2090,1831,1879,1355,1061,867,385,334,384.688725490176,Upward
32,Homo.sapiens,32/927,3.45,4735,9717,9684,7959,8025,9249,7146,6724,6695,5663,4395,1769,934,125,NA,NA,NA,599.164835164849,Upward
33,org.Sc.sgd.db,33/927,3.56,5608,5914,5335,4521,4097,4485,4713,5742,5827,5755,5829,6288,5168,4553,3673,2869,2168,114.48284313726,Upward
34,EnsDb.Mmusculus.v79,34/927,3.67,5228,6946,6658,4667,3866,2944,1799,1285,696,327,110,NA,NA,NA,NA,NA,NA,716.209090909114,Upward
35,IlluminaHumanMethylationEPICv2anno.20a1.hg38,35/927,3.78,5483,2124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3358.99999999835,Upward
36,hugene10sttranscriptcluster.db,36/927,3.88,4939,6420,6229,6541,5867,5823,4011,2456,2443,2139,2331,2133,1462,1326,1195,946,482,398.578431372529,Upward
37,IlluminaHumanMethylationEPICv2manifest,37/927,3.99,5120,1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3268.9999999984,Upward
38,BSgenome.Hsapiens.NCBI.GRCh38,38/927,4.1,4575,7002,6692,4443,3078,2482,1464,1481,1160,1036,985,1458,NA,NA,NA,NA,NA,525.370629370703,Upward
39,PFAM.db,39/927,4.21,4309,6610,7751,7322,7840,8420,8752,8489,6465,5450,5703,5991,3314,787,666,457,375,451.607843137241,Upward
40,TxDb.Dmelanogaster.UCSC.dm3.ensGene,40/927,4.31,4773,5450,4953,5125,4552,3736,3126,3533,2756,2238,2066,2226,1108,469,53,NA,NA,373.467857142834,Upward
41,hgu95a.db,41/927,4.42,3700,6663,5182,4612,4296,3438,2770,1912,1303,928,823,1007,953,618,577,604,648,343.068627450959,Upward
42,SNPlocs.Hsapiens.dbSNP155.GRCh37,41/927,4.42,3809,8837,5645,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353.3,Upward
43,BSgenome.Hsapiens.1000genomes.hs37d5,43/927,4.64,4236,8906,6911,2773,2114,1714,1086,1065,879,639,105,NA,NA,NA,NA,NA,NA,693.300000000023,Upward
44,SNPlocs.Hsapiens.dbSNP144.GRCh37,44/927,4.75,3504,8850,7588,2264,1489,1123,1174,1255,1118,1004,180,NA,NA,NA,NA,NA,NA,634.063636363657,Upward
45,TxDb.Mmusculus.UCSC.mm9.knownGene,45/927,4.85,3761,5745,5261,4211,3852,3514,3124,3216,2708,2126,2203,2026,761,438,110,NA,NA,345.635714285693,Upward
46,SNPlocs.Hsapiens.dbSNP155.GRCh38,46/927,4.96,3480,6389,4260,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089.2,Upward
47,org.Ce.eg.db,47/927,5.07,3269,5469,4269,2510,2090,2214,1929,2494,2230,2030,1874,1865,1410,1068,825,387,323,223.914215686264,Upward
48,org.Ss.eg.db,48/927,5.18,3113,4723,3457,1761,1481,1405,1104,1308,925,616,1454,912,715,891,699,303,268,193.953431372538,Upward
49,TxDb.Hsapiens.UCSC.hg18.knownGene,49/927,5.29,3377,5321,4154,3750,3272,2961,2622,2477,2307,1502,1002,1087,720,437,118,NA,NA,321.364285714262,Upward
50,org.Bt.eg.db,50/927,5.39,2974,4699,3808,2179,1677,1666,1756,2622,2189,1854,1744,1847,1376,1102,1152,388,316,181.899509803914,Upward
51,hgu95av2cdf,51/927,5.5,3508,3832,2946,3117,2795,3085,3214,3878,4184,3959,4205,5373,4595,5353,6083,6369,6344,-212.196078431365,Downward
52,illuminaHumanv4.db,52/927,5.61,3619,3175,2971,2698,3971,3297,3115,3589,1858,1484,1355,1482,1041,769,429,54,NA,238.330882352941,Upward
53,hgu95av2probe,53/927,5.72,3447,3106,2007,2099,1679,1296,1344,1688,1500,1419,1426,2155,1945,2644,3189,3306,3718,-41.473039215691,Downward
54,org.Mmu.eg.db,54/927,5.83,2698,4807,3187,1415,1323,1446,961,1011,653,581,547,812,689,870,689,268,67,186.838235294108,Upward
55,org.Gg.eg.db,55/927,5.93,2755,4444,3542,2017,1428,1487,1522,2413,2055,1660,1473,1652,1270,973,735,347,294,175.041666666659,Upward
56,BSgenome.Celegans.UCSC.ce2,56/927,6.04,3230,3689,3207,2758,2855,2256,1958,1936,1758,2001,2162,2850,4456,2713,2123,1509,1405,68.4558823529413,Upward
57,org.EcK12.eg.db,57/927,6.15,2573,3820,2168,1315,1012,1150,894,847,755,764,638,1008,855,1012,765,350,348,131.549019607836,Upward
58,JASPAR2024,58/927,6.26,2931,1921,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1411.50000000015,Upward
59,org.Cf.eg.db,59/927,6.36,2061,4264,3154,1338,1151,1239,1276,2093,1840,1634,1507,1696,1274,998,768,339,294,136.669117647054,Upward
60,BSgenome.Dmelanogaster.UCSC.dm3,60/927,6.47,2552,2595,2046,1871,1664,1157,1077,1309,1286,1464,1646,2597,6880,2503,1726,1293,1145,-18.0073529411697,Downward
61,BSgenome.Hsapiens.UCSC.hg18,61/927,6.58,2517,2742,1710,1470,1483,1314,1340,1679,1811,1545,1352,2689,2087,2413,2464,2744,2841,-44.7941176470595,Downward
62,SNPlocs.Hsapiens.dbSNP144.GRCh38,62/927,6.69,2326,4732,5002,2236,1278,499,525,480,288,281,113,NA,NA,NA,NA,NA,NA,429.781818181833,Upward
63,hgu133a2cdf,63/927,6.8,2723,1140,1290,865,1023,1044,1135,1158,1182,1392,1600,1663,1560,1440,1658,1439,1561,-7.47303921568647,Downward
64,pd.hugene.1.0.st.v1,64/927,6.9,2353,2537,2349,2442,2946,3019,2819,2007,1818,1663,2324,1471,1030,880,824,435,283,151.656862745093,Upward
65,TxDb.Celegans.UCSC.ce6.ensGene,65/927,7.01,2412,2674,2664,2431,2422,2230,1917,1890,1754,1445,948,486,301,175,32,NA,NA,205.014285714272,Upward
66,BSgenome.Scerevisiae.UCSC.sacCer2,66/927,7.12,2415,2094,1773,1753,1535,1088,1008,1126,991,1017,1167,1600,2228,2965,2649,1384,22,20.296568627458,Upward
67,TxDb.Rnorvegicus.UCSC.rn4.ensGene,66/927,7.12,2405,2739,2793,2499,2419,2204,2021,2143,1619,829,283,467,299,188,28,NA,NA,221.796428571412,Upward
68,JASPAR2022,68/927,7.34,2328,2706,2032,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.6,Upward
69,pd.hg.u133.plus.2,69/927,7.44,2250,2656,2373,1956,2421,2120,1879,1613,1302,1174,1020,1021,719,377,143,NA,NA,168.232142857133,Upward
70,hgu133acdf,70/927,7.55,2080,2619,2668,3044,3633,3539,3625,4090,3754,3517,3951,4413,4401,4866,5350,5301,5315,-185.365196078423,Downward
71,IlluminaHumanMethylationEPICanno.ilm10b2.hg19,71/927,7.66,1914,2955,2918,2454,2819,4316,5109,5903,3797,1151,NA,NA,NA,NA,NA,NA,NA,-141.903030303025,Downward
72,Mus.musculus,72/927,7.77,1953,3736,4515,3635,3647,3721,3367,2866,2505,1382,790,688,427,59,NA,NA,NA,287.589010989021,Upward
73,EnsDb.Hsapiens.v79,73/927,7.87,1856,3137,3128,2840,2728,2369,865,960,699,507,144,NA,NA,NA,NA,NA,NA,290.818181818189,Upward
74,org.Xl.eg.db,74/927,7.98,1502,3177,2247,704,588,661,591,717,425,426,414,707,611,833,661,262,69,100.870098039211,Upward
75,org.Pt.eg.db,75/927,8.09,1415,3099,1710,622,522,609,546,699,402,437,426,739,590,814,643,237,63,88.5588235294079,Upward
76,drosophila2probe,76/927,8.2,2054,1651,1083,976,898,655,523,490,468,616,568,1026,1044,1570,1456,1220,1188,6.92156862744943,Upward
77,mouse4302.db,77/927,8.31,1828,2293,2170,1675,1838,1684,1827,1965,2354,2457,2134,2730,2024,1617,1640,1640,1566,12.6200980392169,Upward
78,illuminaHumanv3.db,78/927,8.41,1666,2815,1878,1452,2690,1867,2456,2928,1255,1111,1299,1651,1289,1029,619,514,497,111.546568627447,Upward
79,hgu133a2.db,79/927,8.52,1903,2669,2052,1603,1531,1357,1450,1772,2007,2225,2366,2887,2156,1263,1477,1330,1382,22.8333333333339,Upward
80,hgu133aprobe,79/927,8.52,1909,1785,1094,959,912,916,876,1055,1119,1384,1046,1485,1587,2168,1954,1445,1610,-28.2083333333321,Downward
81,BSgenome.Mmusculus.UCSC.mm9,81/927,8.74,1532,3290,2950,1778,1548,1588,1501,1734,1880,1830,1854,2377,2185,1179,946,918,733,79.161764705881,Upward
82,TxDb.Athaliana.BioMart.plantsmart22,82/927,8.85,1817,1603,1537,1531,1605,1348,1266,1176,1043,883,735,103,NA,NA,NA,NA,NA,122.562937062941,Upward
83,org.Ag.eg.db,83/927,8.95,1232,2757,1602,609,549,619,562,711,390,385,386,722,595,849,661,244,73,77.1911764705851,Upward
84,org.EcSakai.eg.db,84/927,9.06,1157,2555,1145,542,463,553,377,319,221,342,306,593,520,825,645,264,267,60.0808823529379,Upward
85,JASPAR2018,85/927,9.17,1647,3620,3334,2394,2745,2425,1466,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.416666666666,Upward
86,TxDb.Mmusculus.UCSC.mm39.knownGene,86/927,9.28,1455,1248,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.000000000046,Upward
87,pd.genomewidesnp.6,87/927,9.39,883,2104,1067,345,350,362,444,594,539,562,647,816,706,740,856,687,456,23.2009803921562,Upward
88,hgu95acdf,88/927,9.49,1400,1395,905,1007,845,1437,727,1266,930,958,1645,2061,1195,1138,1558,1541,1409,-25.6544117647044,Downward
89,hu6800.db,89/927,9.6,928,2609,1659,988,1070,574,1045,2095,1112,816,873,1374,1611,2427,1826,1543,1779,-25.6960784313722,Downward
90,Orthology.eg.db,89/927,9.6,1233,1436,692,469,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.300000000036,Upward
91,miRBaseVersions.db,91/927,9.82,1318,1707,1252,967,1089,583,458,551,567,343,NA,NA,NA,NA,NA,NA,NA,135.10909090909,Upward
92,pd.huex.1.0.st.v2,92/927,9.92,1379,1225,1019,764,876,909,991,1013,842,965,1033,1402,1003,822,681,372,235,36.3676470588241,Upward
93,org.Pf.plasmo.db,93/927,10.03,1190,1114,363,325,484,597,394,417,290,377,343,710,592,830,663,305,591,13.4828431372535,Upward
94,BSgenome.Hsapiens.UCSC.hg38.masked,94/927,10.14,1259,1859,1675,1139,860,651,591,520,442,317,188,NA,NA,NA,NA,NA,NA,152.081818181823,Upward
95,BSgenome.Scerevisiae.UCSC.sacCer3,95/927,10.25,1199,1776,2034,1208,1076,1145,888,983,1019,1178,1061,1277,1042,409,40,NA,NA,74.4535714285715,Upward
96,BSgenome.Drerio.UCSC.danRer7,96/927,10.36,891,2698,1571,466,649,472,662,905,937,1036,1355,1989,718,367,195,NA,NA,48.2500000000013,Upward
97,BSgenome.Ecoli.NCBI.20080805,96/927,10.36,1164,1859,2246,1104,1253,924,931,1278,1383,1648,2214,3842,3551,2793,2169,1595,643,-56.0024509803804,Downward
98,hugene10stv1cdf,96/927,10.36,1167,1349,1083,1317,1538,1779,1889,1962,2103,2140,2257,2236,1666,1387,1183,618,NA,-6.26764705882352,Downward
99,human.db0,96/927,10.36,1007,1111,632,575,485,362,410,679,550,506,684,1111,1180,1921,2063,2252,2301,-95.727941176469,Downward
100,TxDb.Mmusculus.UCSC.mm10.ensGene,96/927,10.36,1172,1380,1294,1239,1467,1655,2252,2244,1863,983,984,894,551,182,NA,NA,NA,64.1274725274706,Upward
101,hgu219.db,101/927,10.9,1138,1129,782,974,668,599,564,706,627,543,485,673,503,393,290,51,NA,53.5397058823529,Upward
102,genomewidesnp6Crlmm,102/927,11,762,1960,828,250,288,317,412,459,526,565,1451,1040,744,749,786,854,676,0.0245098039219671,Upward
103,PANTHER.db,102/927,11,926,2026,1073,945,1363,995,751,889,748,392,289,391,93,NA,NA,NA,NA,106.065934065935,Upward
104,pd.mapping50k.xba240,102/927,11,849,1910,1141,311,405,343,470,712,687,801,1160,1961,1438,1275,924,1286,1598,-38.2279411764704,Downward
105,HPO.db,105/927,11.33,1041,2199,14165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6562.00000000055,Downward
106,phastCons100way.UCSC.hg19,105/927,11.33,850,2326,1498,823,929,806,929,1035,565,257,291,174,NA,NA,NA,NA,NA,123.38111888113,Upward
107,mouse4302cdf,107/927,11.54,986,1412,1379,1095,1232,1352,1463,1858,2077,2104,2485,2976,2551,2199,2312,2429,2505,-104.968137254896,Downward
108,MPO.db,108/927,11.65,947,1953,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5834.50000000048,Downward
109,pd.hta.2.0,108/927,11.65,1109,1137,879,787,973,899,847,847,811,695,605,112,NA,NA,NA,NA,NA,60.6748251748247,Upward
110,BSgenome.Hsapiens.UCSC.hg19.masked,110/927,11.87,946,1661,1331,1007,1016,1206,792,981,734,971,1184,602,NA,NA,NA,NA,NA,43.6398601398609,Upward
111,soybeancdf,110/927,11.87,1121,869,408,500,205,199,190,439,147,257,270,480,407,450,811,712,432,6.89705882352898,Upward
112,hgu133plus2probe,112/927,12.08,984,1349,1512,1548,1507,1619,2302,2954,2413,2535,2707,2750,2104,1712,1783,1904,2117,-52.8602941176429,Downward
113,hugene20sttranscriptcluster.db,113/927,12.19,1287,816,581,574,717,688,810,800,681,644,623,651,308,NA,NA,NA,NA,34.510989010989,Upward
114,mogene10sttranscriptcluster.db,113/927,12.19,1027,1110,863,899,858,781,769,1164,1115,1127,1123,1388,1126,1120,1030,758,363,5.15931372549324,Upward
115,TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,113/927,12.19,1142,1454,1189,946,787,546,682,641,507,521,418,587,402,168,NA,NA,NA,76.5626373626404,Upward
116,pd.genomewidesnp.5,116/927,12.51,669,1858,870,218,246,225,251,371,305,407,397,537,444,420,570,447,296,28.4191176470574,Upward
117,BSgenome.Celegans.UCSC.ce11,117/927,12.62,1188,1470,1341,1088,1157,955,686,322,194,143,NA,NA,NA,NA,NA,NA,NA,150.545454545454,Upward
118,pd.hugene.2.0.st,117/927,12.62,1039,1028,993,911,878,910,832,906,907,769,862,811,513,74,NA,NA,NA,45.4307692307682,Upward
119,TxDb.Dmelanogaster.UCSC.dm6.ensGene,119/927,12.84,1018,2641,2305,1082,900,781,824,1281,1093,271,NA,NA,NA,NA,NA,NA,NA,142.860606060606,Upward
120,PolyPhen.Hsapiens.dbSNP131,120/927,12.94,1095,1129,1242,734,835,633,664,638,698,732,619,832,591,301,53,NA,NA,55.5035714285703,Upward
121,rae230aprobe,120/927,12.94,1002,789,539,434,416,279,366,460,390,419,486,931,1032,1758,1755,1667,1378,-67.8651960784282,Downward
122,pd.mogene.1.0.st.v1,122/927,13.16,977,884,901,1716,786,696,759,1127,1028,1187,1236,1222,730,584,511,370,261,36.6617647058826,Upward
123,BSgenome.Dmelanogaster.UCSC.dm6,123/927,13.27,965,2181,1289,780,915,642,500,540,496,348,186,14,NA,NA,NA,NA,NA,131.783216783229,Upward
124,hugene11sttranscriptcluster.db,123/927,13.27,861,921,657,678,723,563,390,605,555,441,411,661,487,403,327,173,NA,34.7735294117647,Upward
125,lumiHumanIDMapping,123/927,13.27,814,1098,591,552,576,548,494,514,586,889,1035,1398,1237,1055,992,916,732,-23.6323529411738,Downward
126,pd.mapping50k.hind240,123/927,13.27,556,1882,857,158,221,184,195,299,184,253,281,572,439,461,547,441,324,24.8186274509789,Upward
127,metaboliteIDmapping,127/927,13.7,972,1695,1508,468,316,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.057142857168,Upward
128,mouse.db0,128/927,13.81,764,725,201,146,178,156,150,365,344,291,394,634,507,426,486,616,1313,-24.2720588235321,Downward
129,pd.mapping250k.nsp,128/927,13.81,547,1844,851,216,262,204,227,307,219,282,312,575,497,465,575,470,381,22.4485294117632,Upward
130,BSgenome.Scerevisiae.UCSC.sacCer1,130/927,14.02,1001,1291,1211,701,563,399,406,374,254,320,387,663,502,400,392,405,498,39.6789215686243,Upward
131,rae230a.db,130/927,14.02,943,933,671,466,498,404,456,568,505,524,677,1425,1102,1825,1793,1678,1291,-67.1642156862704,Downward
132,FDb.UCSC.tRNAs,132/927,14.24,1069,1393,1174,908,683,403,474,545,412,467,345,604,473,261,NA,NA,NA,67.4219780219813,Upward
133,pd.hugene.2.1.st,132/927,14.24,734,932,450,375,423,384,378,456,387,346,359,512,386,63,NA,NA,NA,32.0461538461541,Upward
134,genomewidesnp5Crlmm,134/927,14.46,524,1778,799,145,201,216,248,320,273,355,437,651,474,452,560,486,302,19.3848039215679,Upward
135,BSgenome.Athaliana.TAIR.TAIR9,135/927,14.56,905,780,657,573,878,1128,935,688,592,663,990,1382,747,639,961,5,NA,11.5485294117647,Upward
136,hgu95av2,135/927,14.56,777,980,837,604,838,806,864,1132,1278,1288,1379,1946,1825,1752,2105,3193,5223,-178.825980392161,Downward
137,hgug4112a.db,135/927,14.56,744,930,768,748,873,672,1063,1217,1170,1202,1347,1299,1155,945,889,877,774,-12.6029411764683,Downward
138,pd.mapping250k.sty,135/927,14.56,518,1815,865,209,261,186,231,299,193,260,320,550,457,465,566,493,355,22.1985294117634,Upward
139,bovine.db0,139/927,14.99,743,632,241,122,166,138,125,188,148,244,332,647,588,539,509,519,550,-12.3602941176469,Downward
140,pd.hugene.1.1.st.v1,139/927,14.99,846,851,591,382,417,448,560,525,450,485,497,653,452,340,246,135,NA,28.0352941176471,Upward
141,pd.mogene.2.0.st,141/927,15.21,944,805,600,641,793,642,617,843,850,736,846,810,395,NA,NA,NA,NA,9.25824175824125,Upward
142,arabidopsis.db0,142/927,15.32,739,658,221,196,240,199,176,224,226,327,431,746,763,686,707,806,1451,-40.3039215686291,Downward
143,human370v1cCrlmm,142/927,15.32,520,1691,755,136,183,185,201,238,193,230,303,501,389,293,293,177,NA,34.2147058823529,Upward
144,lumiHumanAll.db,142/927,15.32,899,834,833,680,822,816,932,1075,1219,1499,1900,2891,2088,1206,1136,1052,984,-49.7622549019549,Downward
145,miRNAtap.db,145/927,15.64,801,1053,851,704,815,721,860,926,976,726,293,59,NA,NA,NA,NA,NA,49.1083916083893,Upward
146,pd.hg.u95av2,145/927,15.64,887,676,396,335,464,419,560,591,431,504,421,539,447,443,493,136,NA,17.5176470588235,Upward
147,BSgenome.Osativa.MSU.MSU7,147/927,15.86,683,724,290,278,350,304,262,322,238,245,287,441,46,NA,NA,NA,NA,30.5164835164837,Upward
148,BSgenome.Rnorvegicus.UCSC.rn5,147/927,15.86,967,1203,1314,547,509,325,366,389,328,357,477,614,397,67,NA,NA,NA,61.723076923079,Upward
149,oligoData,147/927,15.86,897,927,507,377,417,491,601,670,573,569,646,860,718,682,515,171,NA,11.1308823529412,Upward
150,rat2302.db,147/927,15.86,896,862,540,595,541,543,1123,1236,1168,1267,1140,999,732,629,562,615,779,0.406862745098332,Upward
151,pd.hg.u133a,151/927,16.29,823,835,681,685,696,732,783,749,615,591,571,698,516,297,121,NA,NA,34.7857142857145,Upward
152,TxDb.Celegans.UCSC.ce11.ensGene,151/927,16.29,1036,1293,1147,897,647,139,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.07142857142,Upward
153,SIFT.Hsapiens.dbSNP132,153/927,16.5,942,796,632,361,389,284,291,339,306,380,353,728,557,522,55,NA,NA,23.7892857142865,Upward
154,SIFT.Hsapiens.dbSNP137,153/927,16.5,979,995,1063,541,641,421,401,412,345,371,286,329,9,NA,NA,NA,NA,73.4560439560448,Upward
155,chicken.db0,155/927,16.72,670,663,124,112,141,119,96,137,136,176,258,457,366,282,253,257,282,5.01225490196024,Upward
156,illuminaHumanv2.db,155/927,16.72,796,812,778,686,2176,1604,2012,2654,808,704,826,1030,863,595,442,418,456,47.1691176470578,Upward
157,rat.db0,157/927,16.94,657,654,186,101,130,99,85,148,123,208,262,513,379,296,360,519,1192,-19.6225490196109,Downward
158,phastCons100way.UCSC.hg38,158/927,17.04,787,1287,1025,566,579,475,374,305,118,128,22,NA,NA,NA,NA,NA,NA,108.26363636364,Upward
159,SNPlocs.Hsapiens.dbSNP150.GRCh38,158/927,17.04,1026,625,643,424,370,218,309,498,141,NA,NA,NA,NA,NA,NA,NA,NA,79.9166666666667,Upward
160,primeviewcdf,160/927,17.26,824,745,630,1078,673,673,642,586,437,567,815,690,481,216,NA,NA,NA,29.4571428571425,Upward
161,HsAgilentDesign026652.db,161/927,17.37,658,862,396,412,449,394,336,515,339,275,266,520,377,297,256,41,NA,27.9985294117647,Upward
162,chimp.db0,162/927,17.48,673,591,207,102,140,94,93,140,113,173,240,431,331,267,238,225,67,10.5318627450981,Upward
163,hthgu133a.db,162/927,17.48,717,1164,908,1104,934,490,480,646,550,594,797,925,712,542,485,419,230,32.990196078431,Upward
164,pd.clariom.s.human,162/927,17.48,768,837,692,994,854,396,375,433,266,23,NA,NA,NA,NA,NA,NA,NA,86.7393939393936,Upward
165,TxDb.Rnorvegicus.UCSC.rn5.refGene,162/927,17.48,674,1401,1253,487,493,511,709,1592,1547,989,892,554,361,63,NA,NA,NA,35.9736263736244,Upward
166,zebrafish.db0,162/927,17.48,665,560,212,88,132,96,88,139,123,184,275,431,305,249,289,401,1008,-12.2892156862774,Downward
167,rhesus.db0,167/927,18.02,594,635,116,78,128,87,75,140,121,183,238,418,293,207,191,200,57,10.3529411764706,Upward
168,yeast.db0,167/927,18.02,599,629,139,114,139,99,91,120,130,183,278,470,356,279,336,474,1161,-19.2058823529442,Downward
169,hta20transcriptcluster.db,169/927,18.23,910,605,397,387,398,387,420,432,348,37,NA,NA,NA,NA,NA,NA,NA,56.9272727272726,Upward
170,ecoliK12.db0,170/927,18.34,595,610,132,123,171,126,106,137,143,190,235,480,365,320,361,460,1056,-17.5147058823555,Downward
171,pig.db0,170/927,18.34,620,589,122,107,139,102,103,132,121,170,248,428,311,202,195,236,235,6.48039215686218,Upward
